t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=C:\\Users\\shres\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=D:\\ai-resume\\resume-matcher-main\\ngrok-tunnels.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-20T17:00:45+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-20T17:00:45+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-20T17:00:45+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=6956b7fa7761 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=29dda9a1d95d l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=a4685e589f91 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:02+0530 lvl=info msg="join connections" obj=join id=80d2c5149905 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:61835
t=2026-01-20T17:06:10+0530 lvl=info msg="join connections" obj=join id=b01150da4d27 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:14+0530 lvl=info msg="join connections" obj=join id=d44c79a97d44 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=7f9aa1eaeb2f l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=5debf98ca3ad l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=afc3055b5b57 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
t=2026-01-20T17:06:15+0530 lvl=info msg="join connections" obj=join id=f543f8546f1c l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:55855
